year,q_no,correct_number,correct_label,correct_text,explanation,difficulty,tags
2024,1,1,A,営業を許された未成年者が、その営業に関する意思表示をした時に意思能力を有しなかっ た場合は、その法律行為は無効である。,"【結論】正解A（1）。
【根拠】意思能力を欠く意思表示は無効。営業許可と意思能力は別概念。
【他肢】②公序良俗違反は無効／③詐欺・強迫はいずれも「取消し」事由／④他人物売買は原則有効。
【覚え方】未成年者“許可”と「意思能力」を混同しない。",3,R6;正解;A
2024,2,4,D,委任は、当事者の一方が仕事を完成することを相手方に約し、相手方がその仕事の結果に 対しその報酬を支払うことを約さなければ、その効力を生じない。,"【結論】正解D（4）※「誤り」。 
【根拠】完成を約するのは請負、委任は事務処理。
【他肢】①販売受託者に説明義務が生じ得る／②復代理の選任は許諾orやむを得ない事由／③死亡後存続特約は有効。
【軸】“完成＝請負／処理＝委任”。",3,R6;正解;D
2024,3,3,C,Ａ、Ｂ、Ｃ 3 人の同意があれば、甲土地を資材置場として賃借したいＦとの間で期間を 3 年とする賃貸借契約を締結することができる。,"【結論】正解C（3）。
【根拠】賃貸借3年は「管理行為」＝持分過半で決定可。
【他肢】①形状・効用の著しい変更＝「変更行為」→全員同意／②登記抹消請求は保存行為→単独可／④所在不明共有者制度の期間等が不一致。
【定石】保存(単独)→管理(過半)→変更(全員)。",3,R6;正解;C
2024,4,4,D,本件契約が、Ａの詐欺により締結されたものである場合、ＢはＣに対して、本件契約の取 消しを主張することができる。,"【結論】正解D（4）。
【根拠】詐欺取消しの抗弁は相続人へ承継。
【他肢】①解除は原則催告→解除／②解除権は承継が原則／③引渡請求に登記は不要（第三者対抗用）。
【整理】詐欺の取消しは地位とともに承継。",3,R6;正解;D
2024,5,2,B,善意の受益者は、その不当利得返還債務について、履行の請求を受けた時から遅滞の責任 を負う。 (cid:12681),"【結論】正解B（2）。
【根拠】善意受益者の遅滞＝請求時から。
【他肢】①不法行為は発生時から／③④条文要件の取り違い。
【記憶】不法＝発生、受益善意＝請求。",3,R6;正解;B
2024,6,4,D,なし,"【結論】正解D（4）＝「なし」。 
【根拠】地上権→のち抵当権の順では、地上権者が所有権取得しても抵当権者保護で混同消滅しない。
【他肢】ア〜エはいずれも混同消滅と誤誘導。
【図解】抵当が“はさみ”となり混同阻止。",3,R6;正解;D
2024,7,1,A,ＣがＢに対し甲建物をＡから買受けたとの虚偽の話をしたので、これを信じたＢが甲建物 の占有を任意にＣに移転した場合、ＡはＣに対して、占有回収の訴えにより甲建物の返還を 請求することはできない。,"【結論】正解A（1）。
【根拠】占有回収の訴えは“侵奪”が要件。賃借人が任意に第三者へ渡した場合は不可。
【他肢】②間接占有の侵奪主張不可／③相続開始の認識は対抗要件でない／④死亡で当然終了しない。
【要点】占有回収＝奪われた時だけ。",3,R6;正解;A
2024,8,1,A,隔地者間の契約は、承諾の通知を発した時に成立する。,"【結論】正解A（1）。
【根拠】隔地者の発信主義の明文は削除、一般原則で処理。
【他肢】②原状回復義務は条文化／③利益相反型代理規律あり／④未成年者の同意規定は条文化。
【注意】旧知識の残像に注意。",3,R6;正解;A
2024,9,2,B,第三者が債務者との間で、債務者の債務につき併存的債務引受契約をした場合、債権者が 第三者に承諾をした時点で、その効力が生ずる。,"【結論】正解B（2）。
【根拠】併存的債務引受は“債権者の第三者への承諾”で効力発生。
【他肢】①免責的は債権者承諾必須／③債権者と第三者契約に債務者の承諾は不要／④転貸は原則承諾要。
【比較】免責か併存か、契約当事者を確認。",3,R6;正解;B
2024,10,4,D,損害賠償請求権,"【結論】正解D（4）。
【根拠】契約不適合が無過失なら損害賠償は不可（帰責性要）。追完・減額・解除は可（要件充足）。
【他肢】①②③はいずれも賠償を含むため×。
【覚え】無過失→賠償×、他救済○。",3,R6;正解;D
